,ds,y
276,2024-03-03,107389.33968402108
277,2024-03-04,107748.39975556164
278,2024-03-05,106824.2037792794
279,2024-03-06,107558.26026828875
280,2024-03-07,108521.98665238253
281,2024-03-08,107858.82301056478
282,2024-03-09,107858.82301056478
283,2024-03-10,107858.82301056478
284,2024-03-11,107581.69321191839
285,2024-03-12,108485.43340841414
286,2024-03-13,108339.81662100453
287,2024-03-14,107568.72955980105
288,2024-03-15,106988.91603985536
289,2024-03-16,106988.91603985536
290,2024-03-17,106988.91603985536
291,2024-03-18,107354.24893638292
292,2024-03-19,108048.7345973634
293,2024-03-20,109087.80054701773
294,2024-03-21,110080.07276398332
295,2024-03-22,109573.32819097654
296,2024-03-23,109573.32819097654
297,2024-03-24,109573.32819097654
298,2024-03-25,109109.06245670134
299,2024-03-26,109071.47361922132
300,2024-03-27,110177.03523594693
301,2024-03-28,110446.9618791711
302,2024-03-29,110446.9618791711
303,2024-03-30,110446.9618791711
304,2024-03-31,110446.9618791711
305,2024-04-01,109827.11648628594
306,2024-04-02,108671.79827569405
307,2024-04-03,108886.53660797248
308,2024-04-04,107415.6480045726
309,2024-04-05,108460.33945885467
310,2024-04-06,108460.33945885467
311,2024-04-07,108460.33945885467
312,2024-04-08,108606.26300151262
313,2024-04-09,108809.16873269777
314,2024-04-10,107152.45323822867
315,2024-04-11,107445.45412235703
316,2024-04-12,105907.14665362316
317,2024-04-13,105907.14665362316
318,2024-04-14,105907.14665362316
319,2024-04-15,104814.81294919588
320,2024-04-16,104570.60079076837
321,2024-04-17,104027.9738758236
322,2024-04-18,103789.13953161227
323,2024-04-19,103232.8666660556
324,2024-04-20,103232.8666660556
325,2024-04-21,103232.8666660556
326,2024-04-22,104066.86213617647
327,2024-04-23,105236.12617327536
328,2024-04-24,105224.52083456532
329,2024-04-25,105106.4594468257
330,2024-04-26,105435.5007546912
331,2024-04-27,105435.5007546912
332,2024-04-28,105435.5007546912
333,2024-04-29,105919.92194127761
334,2024-04-30,104364.66066061729
335,2024-05-01,103816.43338866564
336,2024-05-02,104421.86040393589
337,2024-05-03,105441.55997017032
338,2024-05-04,105441.55997017032
339,2024-05-05,105441.55997017032
340,2024-05-06,106486.3188180737
341,2024-05-07,106884.36363192054
342,2024-05-08,106642.87071960345
343,2024-05-09,107608.80644369539
344,2024-05-10,108148.72491097408
345,2024-05-11,108148.72491097408
346,2024-05-12,108148.72491097408
347,2024-05-13,107652.41040560987
348,2024-05-14,108081.13736026954
349,2024-05-15,109524.39736830525
350,2024-05-16,109017.39958034676
351,2024-05-17,109118.72296230696
352,2024-05-18,109118.72296230696
353,2024-05-19,109118.72296230696
354,2024-05-20,109311.87633223295
355,2024-05-21,109056.55554180322
356,2024-05-22,108612.87806614995
357,2024-05-23,107478.53066173641
358,2024-05-24,108157.7365561323
359,2024-05-25,108157.7365561323
360,2024-05-26,108157.7365561323
361,2024-05-27,108157.7365561323
362,2024-05-28,107481.70060841634
363,2024-05-29,106191.71335095672
364,2024-05-30,106251.01658501965
365,2024-05-31,107333.31010532379
